ForayNL Name,Mycobank Name,Value
Agyrium rufum ,Agyrium rufum,1
Alectoria nigricans (Gowardia nigricans),,3
Alectoria ochroleuca,Alectoria ochroleuca,0
Alectoria sarmentosa,Alectoria sarmentosa,0
Alyxoria varia,Alyxoria varia,0
Amandinea punctata,Amandinea punctata,0
Arctoparmelia centrifuga,Arctoparmelia centrifuga,0
Arctoparmelia incurva,Arctoparmelia incurva,0
Arthonia patellulata,Arthonia patellulata,0
Aspicilia cinerea,Aspicilia cinerea,0
Aspicilia gibbosa (Circinaria gibbosa),,3
Athallia holocarpa,Athallia holocarpa,0
Athallia pyracea,Athallia pyracea,0
Bacidia subincompta ,Bacidia subincompta,1
Baeomyces rufus,Baeomyces rufus,0
Bellemerea cinereorufescens,Bellemerea cinereorufescens,0
Biatora pycnidiata,Biatora pycnidiata,0
Biatora vernalis,Biatora vernalis,0
Bilimbia sabuletorum ,Bilimbia sabuletorum,1
Bryoria americana,Bryoria americana,0
Bryoria bicolor,Bryoria bicolor,0
Bryoria furcellata,Bryoria furcellata,0
Bryoria fuscescens,Bryoria fuscescens,0
Bryoria lanestris,Bryoria lanestris,0
Bryoria nadvornikiana,Bryoria nadvornikiana,0
Bryoria nitidula,Bryoria nitidula,0
Bryoria pikei,Bryoria pikei,0
Bryoria simplicior,Bryoria simplicior,0
Bryoria sp.,,3
Bryoria trichodes,Bryoria trichodes,0
Bryoria trichodes ssp. trichodes,Bryoria trichodes subsp. trichodes,2
Buellia arnoldii,Buellia arnoldii,0
Buellia discoformis,Buellia disciformis,2
Buellia erubescens,Buellia erubescens,0
Buellia punctata,Buellia punctata,0
Buellia stillingiana,Buellia stillingiana,0
Calicium abietinum,Calicium abietinum,0
Calicium lenticulare,Calicium lenticulare,0
Calicium parvum,Calicium parvum,0
Calicium salicinum,Calicium salicinum,0
Calicium sp.,,3
Calicium trabinellum,Calicium trabinellum,0
Caloplaca arenaria,Caloplaca arenaria,0
Caloplaca cerina ,Caloplaca cerina,1
Caloplaca discolor,Caloplaca discolor,0
Caloplaca fraudans,Caloplaca fraudans,0
Caloplaca holocarpa,Caloplaca holocarpa,0
Calvitimela aglaea,Calvitimela aglaea,0
Candelaria concolor,Candelaria concolor,0
Candelariella efflorescens,Candelariella efflorescens,0
Candellariella aurella,Candelariella aurella,2
Carbonea vorticosa,Carbonea vorticosa,0
Catillaria chalybeia,Catillaria chalybeia,0
Catinaria atropurpurea,Catinaria atropurpurea,0
Cetraria aculeata,Cetraria aculeata,0
Cetraria ericetorum,Cetraria ericetorum,0
Cetraria islandica,Cetraria islandica,0
Cetraria islandica ssp. crispiformis,Cetraria islandica subsp. crispiformis,2
Cetraria laevigata,Cetraria laevigata,0
Cetraria muricata,Cetraria muricata,0
Cetrariella delisei,Cetrariella delisei,0
Cetrariella sp.,,3
Chaenotheca balsamconensis,Chaenotheca balsamconensis,0
Chaenotheca bruneola,Chaenotheca brunneola,2
Chaenotheca chrysocephala ,Chaenotheca chrysocephala,1
Chaenotheca ferruginea,Chaenotheca ferruginea,0
Chaenotheca furfuracea,Chaenotheca furfuracea,0
Chaenotheca sp.,,3
Chaenotheca trichialis ,Chaenotheca trichialis,1
Chaenothecia xyloxena,Chaenotheca xyloxena,2
Chaenothecopsis marcineae,Chaenothecopsis marcineae,0
Chaenothecopsis nigra,Chaenothecopsis nigra,0
Chaenothecopsis pusilla,Chaenothecopsis pusilla,0
Chaenothecopsis sp.,,3
Cladonai wainioi,Cladonia wainioi,2
Cladonia acuminata,Cladonia acuminata,0
Cladonia amaurocraea,Cladonia amaurocraea,0
Cladonia arbuscula,Cladonia arbuscula,0
Cladonia arbuscula spp. squarrosa,Cladonia arbuscula subsp. squarrosa,2
Cladonia bacilliformis,Cladonia bacilliformis,0
Cladonia bellidiflora,Cladonia bellidiflora,0
Cladonia borealis,Cladonia borealis,0
Cladonia boryi,Cladonia boryi,0
Cladonia botrytes,Cladonia botrytes,0
Cladonia caespiticia,Cladonia caespiticia,0
Cladonia cariosa,Cladonia cariosa,0
Cladonia carneola,Cladonia carneola,0
Cladonia cenotea,Cladonia cenotea,0
Cladonia chlorophaea complex,,3
Cladonia chlorophaea s.s.,,3
Cladonia coccifera,Cladonia coccifera,0
Cladonia coniocraea,Cladonia coniocraea,0
Cladonia cornuta,Cladonia cornuta,0
Cladonia cornuta ssp. groenlandicum,Cladonia cornuta subsp. groenlandica,2
Cladonia crispata,Cladonia crispata,0
Cladonia cristatella,Cladonia cristatella,0
Cladonia cyanipes,Cladonia cyanipes,0
Cladonia deformis ,Cladonia deformis,1
Cladonia digitata,Cladonia digitata,0
Cladonia farinacea,Cladonia farinacea,0
Cladonia fimbriata,Cladonia fimbriata,0
Cladonia furcata,Cladonia furcata,0
Cladonia gracilis spp. elongata,Cladonia gracilis subsp. elongata,2
Cladonia gracilis spp. gracilis,Cladonia gracilis subsp. gracilis,2
Cladonia gracilis ssp. turbinata,Cladonia gracilis subsp. turbinata,2
Cladonia grayi,Cladonia grayi,0
Cladonia groenlandica,Cladonia groenlandica,0
Cladonia macilenta,Cladonia macilenta,0
Cladonia macilenta var. bacillaris,Cladonia macilenta var. bacillaris,0
Cladonia macrophylla,Cladonia macrophylla,0
Cladonia maxima,Cladonia maxima,0
Cladonia merochlorophaea,Cladonia merochlorophaea,0
Cladonia metacorallifera,Cladonia metacorallifera,0
Cladonia mitis (Cladonia arbuscula subsp. mitis),,3
Cladonia multiformis,Cladonia multiformis,0
Cladonia ochrochlora,Cladonia ochrochlora,0
Cladonia peziziformis,Cladonia peziziformis,0
Cladonia phyllophora,Cladonia phyllophora,0
Cladonia pleurota,Cladonia pleurota,0
Cladonia pocillum,Cladonia pocillum,0
Cladonia pyxidata,Cladonia pyxidata,0
Cladonia rangiferina,Cladonia rangiferina,0
Cladonia rei,Cladonia rei,0
Cladonia scabriuscula,Cladonia scabriuscula,0
Cladonia sp.,,3
Cladonia squamosa,Cladonia squamosa,0
Cladonia squamosa var. subsquamosa,Cladonia squamosa var. subsquamosa,0
Cladonia stellaris,Cladonia stellaris,0
Cladonia strepsilis,Cladonia strepsilis,0
Cladonia stygia,Cladonia stygia,0
Cladonia subulata,Cladonia subulata,0
Cladonia sulphurina,Cladonia sulphurina,0
Cladonia symphycarpa,Cladonia symphycarpa,0
Cladonia terrae-novae,Cladonia terrae-novae,0
Cladonia terrae-novae f. cinerascens,Cladonia terrae-novae f. cinerascens,0
Cladonia turgida,Cladonia turgida,0
Cladonia uncialis,Cladonia uncialis,0
Cladonia verticillata,Cladonia verticillata,0
Coccocarpia palmicola,Coccocarpia palmicola,0
